statenum,casenum,vnumber,pnumber,city,accday,acchr,accmon,dayofweek,latitude,longitude,age,hispanic,ptype,race,sex,body,make,model,modelyr,feet,weight,prevsus
13,133,2,1,3390,6,13,2,2,32.85964722,-83.60070833,65,0,1,0,2,4,20,2,2014,5,135,0
13,134,1,2,0,6,15,2,2,30.92967222,-84.604875,26,0,2,0,2,14,12,401,1988,5,165,0
13,134,2,1,0,6,15,2,2,30.92967222,-84.604875,41,0,1,0,1,66,85,881,2006,5,220,0
13,135,2,1,1610,6,0,2,2,33.733525,-84.23098056,24,0,1,0,2,6,63,37,2016,5,133,0
13,135,2,2,1610,6,0,2,2,33.733525,-84.23098056,30,0,2,0,2,6,63,37,2016,5,133,0
13,135,3,1,1610,6,0,2,2,33.733525,-84.23098056,25,0,1,0,1,34,23,471,2003,5,170,0
13,137,1,1,0,6,17,2,2,32.93096667,-83.58552222,58,7,1,1,1,34,49,481,1993,6,201,0
13,137,2,1,0,6,17,2,2,32.93096667,-83.58552222,60,0,1,0,1,34,20,481,1999,5,225,0
13,138,1,1,0,6,19,2,2,33.02469722,-85.07739722,39,0,1,0,2,4,20,37,2016,5,151,0
13,140,1,1,0,7,18,2,3,33.7582,-84.26306389,46,7,1,2,1,4,34,34,2002,5,182,1
13,140,1,2,0,7,18,2,3,33.7582,-84.26306389,30,0,2,0,1,4,34,34,2002,5,182,1
13,140,2,2,0,7,18,2,3,33.7582,-84.26306389,23,0,2,0,1,4,24,5,2003,5,245,0
13,140,3,1,0,7,18,2,3,33.7582,-84.26306389,25,0,1,0,1,14,35,401,2002,6,140,0
13,140,5,1,0,7,18,2,3,33.7582,-84.26306389,57,0,1,0,1,4,63,38,2017,5,150,1
13,144,1,1,0,9,15,2,5,33.91931389,-84.18490278,59,7,1,1,1,21,20,461,2012,6,220,0
13,144,2,1,0,9,15,2,5,33.91931389,-84.18490278,47,0,1,0,1,63,86,881,2011,6,175,0
13,144,2,2,0,9,15,2,5,33.91931389,-84.18490278,29,0,2,0,1,63,86,881,2011,6,175,0
13,146,2,1,0,9,11,2,5,33.00965278,-83.53377778,54,7,1,1,1,66,87,881,1997,5,240,0
13,147,1,1,0,9,5,2,5,31.62561944,-81.91650833,57,7,1,2,1,34,20,481,1993,5,178,1
13,154,1,1,0,11,6,2,7,32.78630278,-83.49891667,45,7,1,2,1,4,12,17,2003,5,240,0
13,154,2,1,0,11,6,2,7,32.78630278,-83.49891667,51,0,1,0,1,6,7,27,2016,6,240,0
13,155,1,3,3390,12,14,2,1,32.85938333,-83.61506944,3,0,2,0,2,15,12,422,2004,5,154,0
13,155,2,1,3390,12,14,2,1,32.85938333,-83.61506944,62,7,1,2,1,4,55,33,2008,5,230,0
13,156,1,1,0,12,18,2,1,31.95383611,-81.08878611,29,7,1,1,1,4,49,40,2015,5,135,0
13,157,1,3,0,12,0,2,1,33.38575278,-84.84189444,20,0,2,0,1,4,55,39,2007,5,158,0
13,160,2,2,0,12,15,2,1,32.50986944,-82.96375556,46,0,2,0,1,6,20,24,2009,5,155,0
13,160,2,3,0,12,15,2,1,32.50986944,-82.96375556,22,0,2,0,2,6,20,24,2009,5,155,0
13,160,2,4,0,12,15,2,1,32.50986944,-82.96375556,13,0,2,0,2,6,20,24,2009,5,155,0
13,160,3,1,0,12,15,2,1,32.50986944,-82.96375556,25,0,1,0,1,4,20,2,1992,6,165,1
13,163,1,3,0,13,9,2,2,33.00963611,-83.53377778,46,0,2,0,1,14,12,402,2015,5,290,0
13,163,2,1,0,13,9,2,2,33.00963611,-83.53377778,44,0,1,0,1,21,20,461,1990,6,205,2
13,164,1,1,4730,13,8,2,2,34.02410833,-85.01896389,39,7,1,1,1,14,49,401,1997,6,225,0
13,165,2,1,1320,13,16,2,2,33.64286667,-84.01939167,23,0,1,0,1,4,63,34,2013,5,180,3
13,166,1,1,0,13,6,2,2,33.86872778,-83.75526667,62,7,1,1,2,4,37,32,2005,5,143,0
13,167,1,1,4910,14,6,2,3,32.07145278,-81.08335833,54,0,1,0,2,4,63,34,2011,5,220,0
13,168,1,1,0,14,8,2,3,33.93468056,-84.52780556,28,1,1,1,1,6,49,47,2005,5,150,0
13,168,2,1,0,14,8,2,3,33.93468056,-84.52780556,27,0,1,0,1,14,2,403,2016,6,180,0
13,170,1,1,9997,14,22,2,3,33.92781111,-84.25947222,18,6,1,1,1,80,37,705,2001,6,200,0
13,172,1,1,0,15,19,2,4,33.77358333,-84.74761944,30,99,1,99,1,6,63,37,2012,6,260,1
13,172,2,1,0,15,19,2,4,33.77358333,-84.74761944,33,0,1,0,1,34,49,472,2007,6,175,0
13,172,3,2,0,15,19,2,4,33.77358333,-84.74761944,42,0,2,0,2,4,49,40,2001,6,240,0
13,173,1,1,1770,15,6,2,4,33.77008333,-84.685575,23,0,1,0,1,4,24,1,1994,6,285,2
13,176,2,1,5774,15,17,2,4,31.26830278,-82.66523611,45,0,1,0,1,66,87,881,1992,5,254,0
13,177,2,1,0,16,10,2,5,34.90802222,-84.26797222,38,0,1,0,1,34,12,473,2001,5,150,0
13,178,1,1,2560,16,13,2,5,33.38909167,-84.30784722,74,7,1,2,1,34,12,481,2003,5,170,0
13,178,2,1,2560,16,13,2,5,33.38909167,-84.30784722,43,0,1,0,1,66,84,881,2012,6,275,0
13,179,2,1,0,17,8,2,6,31.52607222,-83.40526944,43,0,1,0,1,34,12,481,2004,5,200,0
13,180,1,2,0,17,20,2,6,34.69738611,-85.27485556,16,0,2,0,1,6,20,24,2011,5,168,0
13,181,1,1,3440,18,23,2,7,33.97525,-84.55006944,60,99,1,99,1,64,85,881,2017,5,175,0
13,183,2,1,1610,18,4,2,7,33.72368056,-84.25143611,27,0,1,0,2,15,20,421,1999,5,135,1
13,183,2,2,1610,18,4,2,7,33.72368056,-84.25143611,29,0,2,0,1,15,20,421,1999,5,135,1
13,184,1,1,550,18,1,2,7,31.36603056,-84.92018889,39,7,1,1,1,16,20,431,1999,5,170,1
13,185,1,1,850,18,11,2,7,30.95973056,-84.18032222,68,7,1,1,2,14,2,404,2004,5,140,0
13,185,2,1,850,18,11,2,7,30.95973056,-84.18032222,68,0,1,0,2,34,7,482,2006,5,220,0
13,187,1,1,0,18,16,2,7,33.751925,-83.49393889,63,99,1,99,1,14,12,401,2002,5,235,0
13,189,1,2,0,18,17,2,7,34.68118333,-85.167425,10,7,2,1,1,20,20,443,2000,5,220,0
13,190,2,1,280,19,19,2,1,33.77546389,-84.46918889,999,0,1,0,9,99,99,999,9999,9,999,99
13,191,1,1,4650,19,12,2,1,32.07045278,-84.69681389,31,99,1,99,1,34,7,482,2004,6,155,0
13,192,1,1,0,19,2,2,1,32.18870833,-82.13257222,30,7,1,2,1,14,12,401,2003,5,150,0
13,193,1,2,5490,19,10,2,1,31.44050556,-83.52796389,72,7,2,1,2,14,23,402,2012,5,200,0
13,194,1,1,3210,21,2,2,3,33.71180556,-84.12755278,34,7,1,2,1,34,12,481,1987,6,250,1
13,195,1,1,0,23,9,2,5,33.38600556,-84.25977222,25,2,1,1,2,4,49,32,2008,5,150,0
13,195,2,2,0,23,9,2,5,33.38600556,-84.25977222,49,0,2,0,1,16,3,431,2004,5,145,0
13,196,1,1,0,23,13,2,5,34.91874167,-84.10956667,21,7,1,1,1,80,76,704,2015,5,155,0
13,197,2,1,0,24,13,2,6,32.30996944,-81.8855,32,0,1,0,1,66,51,881,2012,6,999,0
13,198,2,1,280,24,7,2,6,33.70440833,-84.34949722,59,0,1,0,1,34,20,481,2014,5,150,0
13,199,1,1,0,24,20,2,6,31.28052778,-81.66341667,22,7,1,1,1,34,12,481,1998,5,128,0
13,199,2,1,0,24,20,2,6,31.28052778,-81.66341667,33,7,1,1,2,15,12,422,2000,5,130,8
13,199,2,2,0,24,20,2,6,31.28052778,-81.66341667,13,0,2,0,1,15,12,422,2000,5,130,8
13,200,1,1,0,24,19,2,6,33.944225,-84.25061111,999,0,1,0,9,99,99,999,9999,9,999,99
13,201,1,1,2160,24,19,2,6,34.164575,-83.82901389,71,7,1,1,1,80,72,706,2009,5,210,0
13,202,1,1,0,24,11,2,6,30.79528056,-83.24171944,27,0,1,0,1,66,84,884,2015,5,215,0
13,202,3,1,0,24,11,2,6,30.79528056,-83.24171944,46,7,1,1,1,34,52,471,1995,5,195,1
13,202,3,2,0,24,11,2,6,30.79528056,-83.24171944,55,0,2,0,1,34,52,471,1995,5,195,1
13,203,1,1,2960,24,7,2,6,31.60317222,-81.93254722,17,0,1,0,1,34,20,481,2000,5,125,0
13,203,1,3,2960,24,7,2,6,31.60317222,-81.93254722,14,0,2,0,1,34,20,481,2000,5,125,0
13,204,2,1,0,25,22,2,7,33.73730833,-84.23427778,999,0,1,0,9,99,99,999,9999,9,999,99
13,205,1,1,9997,25,20,2,7,30.95527222,-83.24235,29,0,1,0,1,66,84,881,2014,5,152,0
13,205,2,1,9997,25,20,2,7,30.95527222,-83.24235,38,7,1,1,1,4,12,16,2011,6,275,0
13,206,1,2,2540,25,1,2,7,30.981925,-83.35043611,26,0,2,0,1,4,41,50,2007,6,198,0
13,206,1,3,2540,25,1,2,7,30.981925,-83.35043611,22,7,2,1,2,4,41,50,2007,6,198,0
13,207,1,1,5680,25,11,2,7,30.92346111,-83.29136389,82,7,1,2,1,34,41,471,1994,5,135,0
13,208,1,2,1280,25,13,2,7,32.40338056,-84.92433056,34,0,2,0,2,14,20,403,2005,9,999,0
13,208,1,3,1280,25,13,2,7,32.40338056,-84.92433056,13,0,2,0,1,14,20,403,2005,9,999,0
13,208,1,4,1280,25,13,2,7,32.40338056,-84.92433056,0,0,2,0,2,14,20,403,2005,9,999,0
13,208,1,6,1280,25,13,2,7,32.40338056,-84.92433056,15,0,2,0,1,14,20,403,2005,9,999,0
13,208,1,7,1280,25,13,2,7,32.40338056,-84.92433056,8,0,2,0,2,14,20,403,2005,9,999,0
13,208,1,11,1280,25,13,2,7,32.40338056,-84.92433056,6,0,2,0,2,14,20,403,2005,9,999,0
13,210,1,2,90,26,14,2,1,31.56899444,-84.19582778,17,7,2,2,1,4,24,7,2007,6,200,0
13,211,1,1,5760,27,15,2,2,34.373075,-84.58704167,64,7,1,1,1,34,20,481,2000,6,281,0
13,213,1,1,1993,28,23,2,3,33.6116,-84.28648056,40,0,1,0,1,4,49,40,1999,6,245,0
13,214,1,1,0,28,3,2,3,34.06002222,-84.55700833,51,99,1,99,1,5,20,29,2013,5,323,0
13,215,1,2,0,28,19,2,3,33.74489444,-84.13611111,12,0,2,0,2,4,37,31,2016,5,125,0
13,215,1,3,0,28,19,2,3,33.74489444,-84.13611111,13,0,2,0,2,4,37,31,2016,5,125,0
13,217,1,1,0,28,20,2,3,33.41981389,-84.44362778,45,0,1,0,2,14,2,404,2000,5,220,0
13,217,1,2,0,28,20,2,3,33.41981389,-84.44362778,22,0,2,0,2,14,2,404,2000,5,220,0
13,217,1,3,0,28,20,2,3,33.41981389,-84.44362778,2,0,2,0,2,14,2,404,2000,5,220,0
13,220,1,1,0,1,19,3,4,32.40348611,-81.81340833,54,0,1,0,1,66,84,881,2010,5,190,0
13,222,1,1,2060,1,19,3,4,33.5112,-84.63175556,51,7,1,2,2,4,49,40,2008,5,120,0
13,222,2,2,2060,1,19,3,4,33.5112,-84.63175556,17,0,2,0,2,4,49,40,2017,5,170,0
13,222,2,4,2060,1,19,3,4,33.5112,-84.63175556,28,0,2,0,1,4,49,40,2017,5,170,0
13,222,5,1,2060,1,19,3,4,33.5112,-84.63175556,30,0,1,0,1,21,42,461,2016,5,240,0
